StudyHours,Attendance,Marks
7.85,73.6,67.99
4.67,70.73,49.38
8.66,76.1,66.43
7.12,66.23,66.0
1.39,86.35,73.48
9.77,77.78,61.67
7.73,65.29,77.07
7.97,69.84,85.19
1.72,83.14,72.33
4.78,88.38,75.28
4.02,99.97,70.8
9.3,100.0,70.0
6.62,84.14,59.18
8.32,70.1,74.75
4.71,58.68,68.54
2.66,82.68,100.0
5.77,71.87,93.6
1.11,75.85,75.79
8.36,73.88,58.55
6.5,78.59,53.31
7.7,90.66,87.87
3.87,81.57,73.94
9.72,78.41,77.2
8.98,69.64,43.83
7.89,63.25,83.91
2.35,75.14,76.82
4.93,79.46,53.34
0.92,97.68,62.93
1.97,81.3,73.96
6.99,89.83,70.79
7.58,75.01,65.62
9.69,68.15,68.45
3.6,70.35,66.22
4.02,72.75,72.29
4.96,100.0,92.07
2.3,71.79,31.5
1.73,88.38,66.45
5.02,70.97,72.65
2.66,89.32,74.44
6.86,83.85,64.42
4.65,78.43,43.65
8.41,79.59,74.92
7.15,73.45,95.91
3.47,84.46,46.99
8.41,75.45,82.96
8.15,67.74,65.07
4.18,67.22,69.08
3.24,81.73,54.21
6.98,95.79,64.98
1.83,81.6,89.5
2.4,78.81,78.74
0.57,82.86,95.98
7.98,93.06,87.66
6.82,82.19,76.59
7.2,75.89,96.16
7.92,91.06,76.58
4.86,84.29,82.42
5.9,95.36,65.55
1.83,81.83,71.0
1.59,67.76,59.54
6.85,66.32,84.84
4.98,96.51,52.33
5.87,97.24,81.74
7.77,78.2,67.14
6.53,76.17,87.57
5.76,94.61,81.26
5.81,68.93,97.31
3.39,71.05,80.96
0.79,86.43,46.42
4.65,76.05,69.0
2.54,79.95,52.42
4.38,78.37,62.23
8.61,83.38,92.67
2.72,94.07,79.56
1.05,80.91,59.52
3.17,86.44,54.79
3.29,59.5,70.49
6.79,79.51,51.75
5.79,71.57,59.93
7.95,67.81,74.68
6.81,71.22,87.33
4.36,76.66,79.13
8.23,89.16,35.63
2.09,66.74,74.57
0.72,80.31,71.08
1.36,75.16,76.21
7.36,76.72,94.24
4.89,90.03,39.05
2.03,85.38,61.13
5.26,93.37,78.86
1.95,78.45,46.28
7.12,73.04,92.14
4.74,77.76,75.53
4.12,82.42,82.7
3.36,81.77,61.44
6.49,69.16,82.21
3.94,80.9,86.03
1.33,82.28,73.49
1.62,100.0,73.52
9.64,98.77,74.06
9.13,71.47,57.05
7.15,77.13,67.79
3.03,65.37,67.71
9.71,74.09,75.75
7.9,83.16,85.0
7.31,92.06,54.12
4.77,72.71,68.12
3.09,73.46,92.22
1.42,58.53,58.85
9.07,78.37,57.67
4.83,69.38,73.03
2.42,74.71,82.67
3.41,71.23,70.17
6.0,79.06,89.93
2.18,62.42,82.85
8.64,65.33,82.63
7.71,100.0,78.31
7.33,67.13,100.0
4.6,69.03,66.92
6.46,98.37,39.95
6.05,100.0,94.06
6.67,68.28,63.13
1.3,76.32,71.62
4.45,83.42,89.64
0.9,97.29,45.97
5.19,70.13,51.23
3.63,77.55,45.98
1.87,87.77,58.09
1.48,84.35,76.59
6.08,76.24,77.86
